,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,last_modified_hour,last_modified_minutes,last_modified_Day,last_modified_Month,last_modified_Year,Earned
16781,9404830,48771282,Private room,Centrum West,6,4.5,2,1,84,Canal Room in Amsterdam Centre,52.374166,4.879548,16,16,22,7,2017,504
16782,2807515,14360575,Private room,De Baarsjes / Oud West,167,5.0,2,1,84,Nice room plus balcony very near city centre,52.369179,4.863036,16,16,22,7,2017,14028
16783,17237043,4102944,Private room,De Baarsjes / Oud West,1,0.0,2,1,90,Lovely private room & flat in hip Amsterdam!,52.372684,4.859054,16,16,22,7,2017,90
16784,7996141,8296030,Private room,De Baarsjes / Oud West,8,4.5,2,1,92,Cute Room in Beautiful Oud West,52.368629,4.864752,16,16,22,7,2017,736
16785,16583033,4978942,Private room,De Baarsjes / Oud West,0,0.0,2,1,90,Canal room,52.370464,4.857052,16,16,22,7,2017,0
16786,3608758,18184896,Private room,De Baarsjes / Oud West,0,0.0,2,1,90,A beauty full Amsterdam room ,52.365495,4.878335,16,16,22,7,2017,0
16787,5011010,16044911,Private room,De Baarsjes / Oud West,17,5.0,2,1,96,Apartment with water view,52.372435,4.865185,16,16,22,7,2017,1632
16788,9338157,20972522,Private room,Centrum Oost,3,4.5,2,1,96,Super central room with free bike!,52.365568,4.885658,16,16,22,7,2017,288
16789,7118374,25546083,Private room,De Baarsjes / Oud West,2,0.0,2,1,84,Lovely typical Amsterdam room!,52.366325,4.872151,16,16,22,7,2017,168
16790,14911925,18234436,Private room,De Baarsjes / Oud West,2,0.0,2,1,84,Cosy room with a lovely terrace,52.367363,4.870826,16,16,22,7,2017,168
16791,3849563,5121261,Private room,De Baarsjes / Oud West,8,4.0,2,1,90,Homely Room on Bilderdijkstraat,52.368582,4.872121,16,16,22,7,2017,720
16792,17646678,53346191,Private room,De Baarsjes / Oud West,7,4.5,2,1,90,Lovely private room/flat: Central Amsterdam West!,52.372095,4.858857,16,16,22,7,2017,630
16793,19784857,139639626,Private room,De Baarsjes / Oud West,0,0.0,2,1,84,Neat room in Old-West,52.368842,4.859535,16,16,22,7,2017,0
16794,9786479,50517,Private room,Centrum West,10,5.0,2,1,96,"Stylish, bright room in Centre Amsterdam",52.377109,4.878418,16,16,22,7,2017,960
16795,16009775,3200643,Private room,De Baarsjes / Oud West,7,4.5,2,1,84,Luxury for a cheap price!,52.37093,4.859011,16,16,22,7,2017,588
16796,14851512,24188678,Private room,Bos en Lommer,2,0.0,2,1,84,Cosy apartment in West,52.381468,4.853452,16,16,22,7,2017,168
16797,10181061,9757302,Private room,Centrum West,29,4.5,2,1,90,Romantic Jordaan Studio Amsterdam,52.375242,4.880816,16,16,22,7,2017,2610
16798,4320870,6130091,Private room,De Baarsjes / Oud West,0,0.0,2,1,96,A room with a view,52.36568,4.877004,16,16,22,7,2017,0
16799,9510439,9243344,Private room,De Baarsjes / Oud West,3,5.0,1,1,90,Spacious apartment in center,52.370703,4.872853,16,16,22,7,2017,270
16800,13818942,13343416,Private room,De Baarsjes / Oud West,24,4.5,2,1,90,Lichte kamer met openslaande deuren naar de tuin!,52.371267,4.859894,16,16,22,7,2017,2160
16801,4578467,7404442,Private room,De Baarsjes / Oud West,4,5.0,2,1,87,Cosy bedroom in artsy apartment!,52.372572,4.863315,16,16,22,7,2017,348
16802,18392013,127397718,Private room,De Baarsjes / Oud West,1,0.0,2,1,93,Cozy room in Amsterdam city centre,52.366966,4.866121,16,16,22,7,2017,93
16803,14079338,19109502,Private room,Bos en Lommer,14,5.0,4,1,89,Spacious room in a shared flat close to center,52.381016,4.854634,16,16,22,7,2017,1246
16804,7942470,22913525,Private room,Bos en Lommer,2,0.0,2,1,84,Light and cosy apartment,52.376473,4.86033,16,16,22,7,2017,168
16805,16640033,8685430,Private room,Centrum West,13,5.0,2,1,96,"Central, cozy & bikes",52.374451,4.881449,16,16,22,7,2017,1248
16806,13185447,7232630,Private room,De Baarsjes / Oud West,1,0.0,2,1,90,Cozy apartment near the center!,52.37026,4.855312,16,16,22,7,2017,90
16807,2964891,7981040,Private room,De Baarsjes / Oud West,23,5.0,2,1,95,Clean apartment near centre,52.371908,4.864172,16,16,22,7,2017,2185
16808,9181640,23060282,Private room,Westerpark,94,4.5,2,1,102,Nice room in center of Amsterdam,52.373622,4.873211,16,16,22,7,2017,9588
16809,18195892,22181820,Private room,Centrum West,4,5.0,4,1,102,Sunny Room in a Central + Chic Leidseplein Flat,52.366238,4.881864,16,16,22,7,2017,408
16810,12305923,41285517,Private room,Westerpark,45,5.0,2,1,90,Cozy room with garden view,52.376426,4.871862,16,16,22,7,2017,4050
16811,53671,247822,Private room,Westerpark,205,4.5,2,1,90,Nice room near centre with en suite bath,52.389053,4.885589,16,16,22,7,2017,18450
16812,14838679,18551682,Private room,Centrum Oost,11,5.0,2,1,102,Bright room with balcony in the city centre,52.365406,4.885166,16,16,22,7,2017,1122
16813,16073950,103093723,Private room,Centrum West,27,5.0,2,0,102,Wonderfull apartment for 2 @ Jordaan,52.380716,4.880499,16,16,22,7,2017,2754
